,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
129583,6OxxzC0HsX7zK3ZO3q79H6,traveling,55,313547,0,['Hikaru Utada'],['7lbSsjYACZHn1MSDXPxNF2'],2002-06-19,0.683,0.94,4,-3.207,0,0.0613,0.0282,0.0,0.144,0.767,116.969,4
403270,4TXLc6kN0HOIItpWigjcTk,Airmata Saksi Cintaku,21,347947,0,['Lestari'],['3PemLBuUk6Dj2sPrlMzKXU'],1998-12-31,0.537,0.469,9,-5.732,0,0.0259,0.734,0.0,0.262,0.372,95.912,4
2762,6C0k7xIhe3DakNTtSuVfnz,Kapitel 64 - Der Page und die Herzogin,1,127936,0,"['Georgette Heyer', 'Irina Salkow']","['66pXJ6MhX37ZLneiwUWZf3', '3Lcu93LjKagluamCDOJc9R']",1926,0.752,0.148,9,-21.826,0,0.941,0.441,0.0,0.351,0.398,99.57,3
228616,5oBsB671s34iG8A2v8exQB,Ma De Ginete,44,243307,0,['Antonis Remos'],['6s26Q38Zqc4hY3xe7jrEBG'],2003-10-23,0.742,0.811,10,-4.697,0,0.0829,0.146,0.0,0.221,0.82,94.988,4
267528,5GPFKWYO8GnGJktBXj8PEm,Armstrong,28,162587,0,['Lobo'],['1sldhz8tzC100cRAdfnMht'],1975-01-01,0.552,0.36,2,-13.193,1,0.0288,0.424,0.0147,0.186,0.554,114.352,4
586190,0XOdkTR7yRx41OrHmCqkxl,對得起自己,16,227000,0,['Jackie Chan'],['0wVKXWiOMLfqmFCdCPR7Ar'],1995-01-21,0.62,0.743,3,-6.964,0,0.0513,0.0365,3.4e-06,0.0698,0.564,147.902,4
410722,2ApT9QP9srcfeYDIRdhoAr,夢中的情人,16,223654,0,['Hong Ronghong'],['21GU61itsJIOXs64dkcwzZ'],1992,0.489,0.45,7,-10.666,1,0.033,0.807,0.00271,0.097,0.722,150.801,4
65017,2RYYU6YoKLXEoQ1c0IRKlM,La Carta Que Nunca Envie,49,185800,0,['Los Palominos'],['0PWmxlpld6uKF8DXOupfQe'],1991,0.76,0.679,7,-6.7,1,0.0577,0.178,0.0,0.118,0.965,167.177,4
495186,6Gh8E1xv7bKRpmoiqMh3b5,04 - Ein neues Leben - Teil 13,19,91480,0,['Heidi'],['2kSiXgvssxAYOIvu4lwVGf'],1978,0.597,0.288,7,-19.152,1,0.733,0.825,0.0,0.349,0.772,126.503,3
205663,3Gy3ENP2LOWY9ULiPHp4xO,Voices in My Head,18,228467,0,['Naked Eyes'],['3C6chBmZ9wzisBhoh8G2nK'],1983-03-16,0.629,0.603,2,-12.024,0,0.0544,0.0194,0.0129,0.0331,0.944,117.232,4
578316,3RToimoAF4fxWn1JsPdoF1,Vill du ha mej (Så får du ta mej),16,283333,0,['Björn Skifs'],['1Ek3VdZ8EPmcvgRIqnHlrF'],1979,0.795,0.632,4,-6.921,0,0.139,0.0995,0.00092,0.178,0.774,98.361,4
542883,62tyfEVhZ1Wia93nbvTuhc,Na zare,22,275132,0,"['Bigudi', 'Brainstorm', 'Grizhkovez']","['3sNqRc2UHjNyl54fxb6BOq', '3bz4a3UCEavyTFavWmIVX3', '7GDnvbMMDcghVJEnxvfx1s']",2012-11-02,0.649,0.798,7,-4.436,0,0.0358,0.0944,0.016,0.106,0.266,114.985,4
382919,2Q7KvdJn9vS05CT5O5uxyG,"Белла, чао (Bella Ciao)",11,145707,0,"['Muslim Magomayev', 'Vocal Quartet ""Ulybka""', 'Эстрадно-симфонический оркестр Росконцерта под управлением дирижёра Левона Мерабова']","['20mh1R2iszLiPKWFJVgXaF', '1ZpKNz397FlGsy9MMWVBa3', '3wmiTWn4m2F8VEnxIykEJe']",1974-01-01,0.59,0.455,5,-11.06,0,0.0386,0.63,0.0,0.0885,0.882,120.64,4
262913,6iCKCQdkjALBtYeTvgwqK8,Kurtizana,47,216520,0,['UDG'],['142qig5MMgVIqfwDf1pFae'],2007-03-26,0.695,0.836,4,-1.402,0,0.0287,0.0173,0.0,0.0764,0.386,130.05,4
264569,1EYBJBitfyeMDkjFwDN7eo,A JA,29,124600,1,['Ego'],['2L3W8TmknCpxsOCiZQixyl'],2017-12-17,0.571,0.837,5,-5.057,1,0.137,0.00358,4.79e-06,0.0663,0.675,169.455,4
67870,3sp7BvQNrezKp4tc1Be7xf,La Cosquillita,54,222720,0,['Juan Luis Guerra 4.40'],['3nlpTZci9O5W8RsNoNH559'],1994-01-01,0.456,0.893,5,-5.322,1,0.139,0.662,0.0,0.323,0.901,174.488,4
513639,359WCtca6toka8DA4rhkAQ,Nana Se Kahti Thi Nani Humare,0,181055,0,['Baby Shaila'],['6Cg1T82RFVbsVmQv3TKEr6'],1947-12-31,0.836,0.32,3,-9.958,1,0.187,0.993,0.0592,0.112,0.857,98.426,4
199687,6AdIlGFoMWq4aPc22qOCau,Nada - Live,54,284560,0,['Zoé'],['6IdtcAwaNVAggwd6sCKgTI'],2011-01-01,0.513,0.731,0,-6.908,0,0.0335,0.00777,7.36e-06,0.653,0.239,131.917,4
160476,7DYFZOwZqRIq8fHoQ7UOSC,Vida Mansa,3,191133,0,['Ciro Monteiro'],['7ixbHztB2Y1LUtvCTCL9MZ'],1955,0.557,0.804,0,-7.063,0,0.059,0.846,0.0,0.514,0.697,101.779,4
172604,6QUyFbqKipFCF60z5MbY2Q,Bella Capri,21,200693,0,['Kari Tapio'],['01qfekYoPTQtu4vq8veHE6'],2000,0.519,0.865,8,-7.004,1,0.0767,0.0599,0.000293,0.366,0.67,118.092,4
